date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:10:05	54613/54613	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jan%202022%2012:10:03%20GMT	https://www.nexuscrypto.com/	C:/My%20Web%20Sites/https___www.nexuscrypto.com_/www.nexuscrypto.com/index.html	(from )
18:10:05	5495/5495	---MC-	502	error ('Bad%20Gateway')	text/html	date:Thu,%2006%20Jan%202022%2012:10:03%20GMT	https://www.nexuscrypto.com/robots.txt		(from )
18:10:06	207541/207541	---M-Z	200	added ('OK')	text/css	etag:%2223dfff23b9a668e0bdc5d09a6801c85a%22	https://uploads-ssl.webflow.com/610353ac4481f4248126de0b/css/nexus-crypto-services.webflow.b2eb0ba8a.min.css	C:/My%20Web%20Sites/https___www.nexuscrypto.com_/uploads-ssl.webflow.com/610353ac4481f4248126de0b/css/nexus-crypto-services.webflow.b2eb0ba8a.min.css	(from https://www.nexuscrypto.com/)
18:10:06	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/https___www.nexuscrypto.com_/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.nexuscrypto.com/)
18:10:07	1659/1659	---M--	200	added ('OK')	image/png	etag:%22fe060e966fc2656fa6a36706448d8745%22	https://uploads-ssl.webflow.com/610353ac4481f4248126de0b/61b5d1a2bc0fb0d88cafaded_nexus-favico.png	C:/My%20Web%20Sites/https___www.nexuscrypto.com_/uploads-ssl.webflow.com/610353ac4481f4248126de0b/61b5d1a2bc0fb0d88cafaded_nexus-favico.png	(from https://www.nexuscrypto.com/)
18:10:07	5502/5502	---M--	200	added ('OK')	image/png	etag:%22f58018403584d5d784c21db98149bfaf%22	https://uploads-ssl.webflow.com/610353ac4481f4248126de0b/61b50109e069d6c09101647b_Nexus_X_OnLight_256x256.png	C:/My%20Web%20Sites/https___www.nexuscrypto.com_/uploads-ssl.webflow.com/610353ac4481f4248126de0b/61b50109e069d6c09101647b_Nexus_X_OnLight_256x256.png	(from https://www.nexuscrypto.com/)
18:10:07	7585/7585	---M--	200	added ('OK')	image/png	etag:%221ea3ce2989b5fe1713b93c3a4f20f444%22	https://uploads-ssl.webflow.com/610353ac4481f4248126de0b/61b5026d1a539b24f294b5b0_Nexus_Full_OnLight_500x95.png	C:/My%20Web%20Sites/https___www.nexuscrypto.com_/uploads-ssl.webflow.com/610353ac4481f4248126de0b/61b5026d1a539b24f294b5b0_Nexus_Full_OnLight_500x95.png	(from https://www.nexuscrypto.com/)
18:10:07	5457/5457	---MC-	502	error ('Bad%20Gateway')	text/html	date:Thu,%2006%20Jan%202022%2012:10:06%20GMT	https://www.nexuscrypto.com/about	C:/My%20Web%20Sites/https___www.nexuscrypto.com_/www.nexuscrypto.com/about	(from https://www.nexuscrypto.com/)
18:10:08	15539/15539	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jan%202022%2012:10:06%20GMT	https://www.nexuscrypto.com/promotions	C:/My%20Web%20Sites/https___www.nexuscrypto.com_/www.nexuscrypto.com/promotions.html	(from https://www.nexuscrypto.com/)
18:10:08	24107/24107	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jan%202022%2012:10:07%20GMT	https://www.nexuscrypto.com/blog	C:/My%20Web%20Sites/https___www.nexuscrypto.com_/www.nexuscrypto.com/blog.html	(from https://www.nexuscrypto.com/)
18:10:09	5457/5457	---MC-	502	error ('Bad%20Gateway')	text/html	date:Thu,%2006%20Jan%202022%2012:10:07%20GMT	https://www.nexuscrypto.com/contact	C:/My%20Web%20Sites/https___www.nexuscrypto.com_/www.nexuscrypto.com/contact	(from https://www.nexuscrypto.com/)
18:10:09	10097/10097	---M--	200	added ('OK')	image/png	etag:%223dca9dfd7d9c415eb0abe3fe6577b048%22	https://uploads-ssl.webflow.com/610353ac4481f4248126de0b/616f5a1091a9cf48df6623ca_certik.png	C:/My%20Web%20Sites/https___www.nexuscrypto.com_/uploads-ssl.webflow.com/610353ac4481f4248126de0b/616f5a1091a9cf48df6623ca_certik.png	(from https://www.nexuscrypto.com/)
